site,radius,order,n,log10_error,log10_bound,log10_sensitivity,max_orbit,below_noise_floor
attracting_zero,1e-3,1,1,-999.0,-999.0,0.0,0.001,True
attracting_zero,1e-3,3,1,-999.0,-999.0,0.0,0.001,True
attracting_zero,1e-3,5,1,-999.0,-999.0,0.0,0.001,True
attracting_zero,1e-3,8,1,-999.0,-999.0,0.0,0.001,True
attracting_zero,1e-3,1,2,-6.0,-6.0,0.0,0.001001,False
attracting_zero,1e-3,3,2,-999.0,-999.0,0.0,0.001001,True
attracting_zero,1e-3,5,2,-999.0,-999.0,0.0,0.001001,True
attracting_zero,1e-3,8,2,-999.0,-999.0,0.0,0.001001,True
attracting_zero,1e-3,1,3,-5.999131845041362,-5.999131845041362,0.0,0.001001002001,False
attracting_zero,1e-3,3,3,-12.0,-12.0,0.0,0.001001002001,False
attracting_zero,1e-3,5,3,-999.0,-999.0,0.0,0.001001002001,True
attracting_zero,1e-3,8,3,-999.0,-999.0,0.0,0.001001002001,True
attracting_zero,1e-3,1,4,-5.999130108732892,-5.999130108732892,0.0,0.001001002005006006,False
attracting_zero,1e-3,3,4,-11.300508633852258,-11.300508633852258,0.0,0.001001002005006006,False
attracting_zero,1e-3,5,4,-17.221559244094582,-17.221559244094582,0.0,0.001001002005006006,False
attracting_zero,1e-3,8,4,-999.0,-999.0,0.0,0.001001002005006006,True
attracting_zero,1e-3,1,5,-5.9991301052568025,-5.9991301052568025,0.0,0.001001002005014026,False
attracting_zero,1e-3,3,5,-11.299813414540921,-11.299813414540921,0.0,0.001001002005014026,False
attracting_zero,1e-3,5,5,-16.58429116115371,-16.58429116115371,0.0,0.001001002005014026,False
attracting_zero,1e-3,8,5,-25.026345232237183,-25.026345232237183,0.0,0.001001002005014026,False
attracting_zero,1e-3,1,6,-5.999130105249843,-5.999130105249843,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,6,-11.299812023824728,-11.299812023824728,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,6,-16.375715619523884,-16.375715619523884,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,6,-24.327016103124297,-24.327016103124297,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,7,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,7,-11.299812021040514,-11.299812021040514,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,7,-16.375384152284912,-16.375384152284912,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,7,-24.02117882104287,-24.02117882104287,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,8,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,8,-11.29981202103494,-11.29981202103494,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,8,-16.37538348893985,-16.37538348893985,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,8,-23.8841284304837,-23.8841284304837,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,9,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,9,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,9,-16.37538348761183,-16.37538348761183,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,9,-23.84326299547636,-23.84326299547636,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,10,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,10,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,10,-16.375383487609174,-16.375383487609174,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,10,-23.84318492092054,-23.84318492092054,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,11,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,11,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,11,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,11,-23.84318476462904,-23.84318476462904,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,12,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,12,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,12,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,12,-23.843184764316145,-23.843184764316145,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,13,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,13,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,13,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,13,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,14,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,14,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,14,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,14,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,15,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,15,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,15,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,15,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,16,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,16,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,16,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,16,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,17,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,17,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,17,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,17,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,18,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,18,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,18,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,18,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,19,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,19,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,19,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,19,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,20,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,20,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,20,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,20,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,21,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,21,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,21,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,21,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,22,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,22,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,22,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,22,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,23,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,23,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,23,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,23,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,24,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,24,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,24,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,24,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,25,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,25,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,25,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
attracting_zero,1e-3,8,25,-23.843184764315517,-23.843184764315517,0.0,0.001001002005014042,False
attracting_zero,1e-3,1,26,-5.999130105249829,-5.999130105249829,0.0,0.001001002005014042,False
attracting_zero,1e-3,3,26,-11.299812021034928,-11.299812021034928,0.0,0.001001002005014042,False
attracting_zero,1e-3,5,26,-16.375383487609167,-16.375383487609167,0.0,0.001001002005014042,False
