site,n,radius,dtype,log10_direct_abs_error,log10_perturb_delta_abs_error,log10_perturb_delta_relative_error,parameter_collapsed
deep_boundary,128,1e-6,complex64,-7.471889968916105,-12.130065407869724,-6.373647982244622,False
deep_boundary,128,1e-6,complex128,-16.072518344071128,-21.09524323909702,-15.338825813471917,False
deep_boundary,128,1e-12,complex64,-7.145868864987512,-17.882961473608642,-6.509154363383926,True
deep_boundary,128,1e-12,complex128,-15.468901028175813,-26.902520555464633,-15.528713445239918,False
deep_boundary,128,1e-20,complex64,-7.145843329135804,-25.70618345934539,-6.332376634704673,True
deep_boundary,128,1e-20,complex128,-16.061542343601634,-34.01818691902214,-14.644380094381425,True
deep_boundary,128,1e-30,complex64,-7.145843329135548,-35.78315004728193,-6.4093432226412155,True
deep_boundary,128,1e-30,complex128,-16.06134575352531,-44.413729803745355,-15.039922979104642,True
parabolic_cusp,128,1e-6,complex64,-6.190078287863664,-11.24313070434684,-6.912860054325908,False
parabolic_cusp,128,1e-6,complex128,-14.908772272199624,-19.148609174682175,-14.818338524661243,False
parabolic_cusp,128,1e-12,complex64,-7.189341674379412,-16.368419248350172,-6.037631902902595,False
parabolic_cusp,128,1e-12,complex128,-14.952224142037824,-25.02424478056849,-14.693457435120914,False
parabolic_cusp,128,1e-20,complex64,-7.189642126728839,-24.624609664052787,-6.293822318089024,False
parabolic_cusp,128,1e-20,complex128,-16.443977119423288,-33.68767895019049,-15.356891604226725,False
parabolic_cusp,128,1e-30,complex64,-7.189642126731845,-34.90128676946745,-6.5704994235036835,False
parabolic_cusp,128,1e-30,complex128,-16.449409298698683,-43.881139519829006,-15.550352173865242,False
escaping_seahorse,30,1e-6,complex64,-5.302010622962778,-10.470475842731249,-6.78223336355903,False
escaping_seahorse,30,1e-6,complex128,-14.36494642210485,-19.24334864140903,-15.55510616223681,False
escaping_seahorse,30,1e-12,complex64,-5.994157136805876,-16.783919967012018,-7.095715724400332,True
escaping_seahorse,30,1e-12,complex128,-14.754587630730983,-24.870842911052268,-15.182638668440582,False
escaping_seahorse,30,1e-20,complex64,-5.994096552581157,-25.133797268289257,-7.445593025715805,True
escaping_seahorse,30,1e-20,complex128,-14.269033944280672,-33.15859501095983,-15.470390768386377,True
escaping_seahorse,30,1e-30,complex64,-5.99409655258055,-34.500218125132356,-6.8120138825589045,True
escaping_seahorse,30,1e-30,complex128,-14.26887462729385,-43.230953505315014,-15.542749262741562,True
