site,level,n,log10_radius,log10_inherited_error,log10_fresh_error,log10_periodic_error,log10_neighbor_signal,log10_differential_error,log10_differential_relative_to_signal,log10_inherited_relative_to_signal,log10_periodic_relative_to_signal
parabolic_cusp,1,11,-5.477121254719663,-17.315980041356,-17.649340305723634,-17.315980041356,-4.781369661908768,-17.315171939217638,-12.533802277308869,-12.53461037944723,-12.53461037944723
parabolic_cusp,2,12,-5.954242509439325,-18.23884067095364,-19.321627806498384,-18.23884067095364,-5.228199881261375,-18.280762529752135,-13.05256264849076,-13.010640789692264,-13.010640789692264
parabolic_cusp,3,13,-6.431363764158987,-18.64855397048399,-21.012755293571317,-18.64855397048399,-5.677146255086008,-18.93476394602602,-13.257617690940013,-12.971407715397984,-12.971407715397984
parabolic_cusp,4,14,-6.9084850188786495,-18.824038577168682,-22.719781775843003,-18.824038577168682,-6.127924321392006,-19.49887778501316,-13.370953463621156,-12.696114255776678,-12.696114255776678
parabolic_cusp,5,15,-7.385606273598312,-18.914931656604875,-24.4404272208082,-18.914931656604875,-6.580303738644148,-20.036329476798382,-13.456025738154235,-12.334627917960727,-12.334627917960727
parabolic_cusp,6,16,-7.862727528317975,-18.97530313394321,-26.17288419521628,-18.97530313394321,-7.034095533910365,-20.56354157314068,-13.529446039230315,-11.941207600032847,-11.941207600032847
parabolic_cusp,7,17,-8.339848783037636,-19.023902111072488,-27.915693059770224,-19.023902111072488,-7.489142782410895,-21.08582406709917,-13.596681284688277,-11.534759328661593,-11.534759328661593
parabolic_cusp,8,18,-8.816970037757299,-19.067177656081043,-29.66765637226486,-19.067177656081043,-7.945313725431442,-21.605071957250075,-13.659758231818634,-11.121863930649601,-11.121863930649601
parabolic_cusp,9,19,-9.294091292476962,-19.10741585618339,-31.427778452805562,-31.006546873714807,-8.402496626278488,-22.122046222844496,-13.719549596566008,-10.704919229904903,-22.60405024743632
parabolic_cusp,10,20,-9.771212547196624,-19.145493563848838,-33.19522164395254,-31.87430676544996,-8.860595874334404,-22.637114580205346,-13.776518705870942,-10.284897689514434,-23.013710891115554
parabolic_cusp,11,21,-10.248333801916287,-19.18180252053365,-34.969273968734356,-32.25500380934279,-9.319528994929495,-23.150498971866426,-13.830969976936931,-9.862273525604156,-22.935474814413293
parabolic_cusp,12,22,-10.72545505663595,-19.21656022304742,-36.749324765252425,-32.41114926252702,-9.77922432479977,-23.662360285017634,-13.883135960217864,-9.43733589824765,-22.63192493772725
parabolic_cusp,13,23,-11.202576311355612,-19.24991560156762,-38.53484602595327,-32.485565508955965,-10.239619183026953,-24.172828578845067,-13.933209395818114,-9.010296418540666,-22.245946325929012
