site,radius,order,observed_prefix,bound_prefix,endpoint_prefix,horizon,horizon_reached
attracting_zero,1e-3,1,1,1,1,384,True
attracting_zero,1e-3,3,384,384,384,384,True
attracting_zero,1e-3,5,384,384,384,384,True
attracting_zero,1e-3,8,384,384,384,384,True
attracting_zero,1e-6,1,384,384,384,384,True
attracting_zero,1e-6,3,384,384,384,384,True
attracting_zero,1e-6,5,384,384,384,384,True
attracting_zero,1e-6,8,384,384,384,384,True
attracting_zero,1e-9,1,384,384,384,384,True
attracting_zero,1e-9,3,384,384,384,384,True
attracting_zero,1e-9,5,384,384,384,384,True
attracting_zero,1e-9,8,384,384,384,384,True
attracting_zero,1e-12,1,384,384,384,384,True
attracting_zero,1e-12,3,384,384,384,384,True
attracting_zero,1e-12,5,384,384,384,384,True
attracting_zero,1e-12,8,384,384,384,384,True
attracting_zero,1e-18,1,384,384,384,384,True
attracting_zero,1e-18,3,384,384,384,384,True
attracting_zero,1e-18,5,384,384,384,384,True
attracting_zero,1e-18,8,384,384,384,384,True
period_two,1e-3,1,1,1,1,384,True
period_two,1e-3,3,384,384,384,384,True
period_two,1e-3,5,384,384,384,384,True
period_two,1e-3,8,384,384,384,384,True
period_two,1e-6,1,384,384,384,384,True
period_two,1e-6,3,384,384,384,384,True
period_two,1e-6,5,384,384,384,384,True
period_two,1e-6,8,384,384,384,384,True
period_two,1e-9,1,384,384,384,384,True
period_two,1e-9,3,384,384,384,384,True
period_two,1e-9,5,384,384,384,384,True
period_two,1e-9,8,384,384,384,384,True
period_two,1e-12,1,384,384,384,384,True
period_two,1e-12,3,384,384,384,384,True
period_two,1e-12,5,384,384,384,384,True
period_two,1e-12,8,384,384,384,384,True
period_two,1e-18,1,384,384,384,384,True
period_two,1e-18,3,384,384,384,384,True
period_two,1e-18,5,384,384,384,384,True
period_two,1e-18,8,384,384,384,384,True
parabolic_cusp,1e-3,1,1,1,1,98,False
parabolic_cusp,1e-3,3,9,9,9,98,False
parabolic_cusp,1e-3,5,23,23,23,98,False
parabolic_cusp,1e-3,8,38,38,38,98,False
parabolic_cusp,1e-6,1,71,71,71,384,True
parabolic_cusp,1e-6,3,384,384,384,384,True
parabolic_cusp,1e-6,5,384,384,384,384,True
parabolic_cusp,1e-6,8,384,384,384,384,True
parabolic_cusp,1e-9,1,384,384,384,384,True
parabolic_cusp,1e-9,3,384,384,384,384,True
parabolic_cusp,1e-9,5,384,384,384,384,True
parabolic_cusp,1e-9,8,384,384,384,384,True
parabolic_cusp,1e-12,1,384,384,384,384,True
parabolic_cusp,1e-12,3,384,384,384,384,True
parabolic_cusp,1e-12,5,384,384,384,384,True
parabolic_cusp,1e-12,8,384,384,384,384,True
parabolic_cusp,1e-18,1,384,384,384,384,True
parabolic_cusp,1e-18,3,384,384,384,384,True
parabolic_cusp,1e-18,5,384,384,384,384,True
parabolic_cusp,1e-18,8,384,384,384,384,True
escaping_seahorse,1e-3,1,1,1,1,33,False
escaping_seahorse,1e-3,3,17,17,17,33,False
escaping_seahorse,1e-3,5,26,26,26,33,False
escaping_seahorse,1e-3,8,30,30,30,33,False
escaping_seahorse,1e-6,1,28,28,28,34,False
escaping_seahorse,1e-6,3,32,32,34,34,False
escaping_seahorse,1e-6,5,32,32,34,34,False
escaping_seahorse,1e-6,8,32,32,34,34,False
escaping_seahorse,1e-9,1,32,32,34,34,False
escaping_seahorse,1e-9,3,32,32,34,34,False
escaping_seahorse,1e-9,5,32,32,34,34,False
escaping_seahorse,1e-9,8,32,32,34,34,False
escaping_seahorse,1e-12,1,32,32,34,34,False
escaping_seahorse,1e-12,3,32,32,34,34,False
escaping_seahorse,1e-12,5,32,32,34,34,False
escaping_seahorse,1e-12,8,32,32,34,34,False
escaping_seahorse,1e-18,1,32,32,34,34,False
escaping_seahorse,1e-18,3,32,32,34,34,False
escaping_seahorse,1e-18,5,32,32,34,34,False
escaping_seahorse,1e-18,8,32,32,34,34,False
deep_boundary,1e-3,1,1,1,1,34,False
deep_boundary,1e-3,3,14,14,14,34,False
deep_boundary,1e-3,5,21,21,21,34,False
deep_boundary,1e-3,8,25,24,25,34,False
deep_boundary,1e-6,1,23,23,23,384,True
deep_boundary,1e-6,3,66,65,66,384,True
deep_boundary,1e-6,5,99,98,99,384,True
deep_boundary,1e-6,8,137,137,137,384,True
deep_boundary,1e-9,1,384,384,384,384,True
deep_boundary,1e-9,3,384,384,384,384,True
deep_boundary,1e-9,5,384,384,384,384,True
deep_boundary,1e-9,8,384,384,384,384,True
deep_boundary,1e-12,1,384,384,384,384,True
deep_boundary,1e-12,3,384,384,384,384,True
deep_boundary,1e-12,5,384,384,384,384,True
deep_boundary,1e-12,8,384,384,384,384,True
deep_boundary,1e-18,1,384,384,384,384,True
deep_boundary,1e-18,3,384,384,384,384,True
deep_boundary,1e-18,5,384,384,384,384,True
deep_boundary,1e-18,8,384,384,384,384,True
repelling_tip,1e-3,1,0,0,1,7,False
repelling_tip,1e-3,3,0,0,4,7,False
repelling_tip,1e-3,5,0,0,6,7,False
repelling_tip,1e-3,8,0,0,7,7,False
